timestamp_utc,run_id,protocol,sf_elo,anchor_elo,tc,tc_mode,threads,games,w,l,d,score_pct,perf,artifact,source,notes,git_sha
,benchmark_20260620T184517Z,benchmark_1+0,1320,1320,1+0,movetime,,,27,2,3,89.1,1685,benchmark_20260620T184517Z.txt,ladder_md,,
,-,benchmark_1+0,2200,2200,1+0,movetime,,,,,,-,,-.txt,ladder_md,probe interrupted,
,benchmark_20260621T072038Z,benchmark_1+0,2000,2000,1+0,movetime,,,,,,-,,benchmark_20260621T072038Z.txt,ladder_md,rapid-like depth probe (v0.5.0),
2026-06-20T19:23:47.489779+00:00,benchmark_20260620T192347Z,benchmark_1+0,1320,1320,1+0,,,1,1,0,0,100.0,,benchmark_20260620T192347Z.txt,txt,,
2026-06-20T19:26:41.318308+00:00,benchmark_20260620T192641Z,benchmark_1+0,2000,2000,1+0,,,32,2,23,7,17.2,1727,benchmark_20260620T192641Z.txt,txt,,
2026-06-20T19:27:24.175285+00:00,benchmark_20260620T192724Z,benchmark_1+0,1320,1320,1+0,,,1,1,0,0,100.0,,benchmark_20260620T192724Z.txt,txt,,
2026-06-20T20:57:29.493528+00:00,benchmark_20260620T205729Z,benchmark_1+0,1320,1320,1+0,,,32,1,31,0,3.1,722,benchmark_20260620T205729Z.txt,txt,,
2026-06-20T21:00:36.781351+00:00,benchmark_20260620T210036Z,benchmark_1+0,1320,1320,1+0,,,4,0,4,0,0.0,,benchmark_20260620T210036Z.txt,txt,,
2026-06-20T21:05:00.419986+00:00,benchmark_20260620T210500Z,benchmark_1+0,1320,1320,1+0,,,8,0,8,0,0.0,,benchmark_20260620T210500Z.txt,txt,,
2026-06-20T21:14:12.384277+00:00,benchmark_20260620T211412Z,benchmark_1+0,1320,1320,1+0,,,8,0,8,0,0.0,,benchmark_20260620T211412Z.txt,txt,,
2026-06-20T21:22:46.706926+00:00,benchmark_20260620T212246Z,benchmark_1+0,1320,1320,1+0,,,4,4,0,0,100.0,,benchmark_20260620T212246Z.txt,txt,,
2026-06-20T21:24:49.928041+00:00,benchmark_20260620T212449Z,benchmark_1+0,1800,1800,1+0,,,32,13,14,5,48.4,1789,benchmark_20260620T212449Z.txt,txt,,
2026-06-20T21:27:14.793636+00:00,benchmark_20260620T212714Z,benchmark_1+0,1320,1320,1+0,,,8,0,8,0,0.0,,benchmark_20260620T212714Z.txt,txt,,
2026-06-20T21:34:17.252489+00:00,benchmark_20260620T213417Z,benchmark_1+0,1320,1320,1+0,,,8,7,1,0,87.5,1658,benchmark_20260620T213417Z.txt,txt,,
2026-06-20T21:43:01.658425+00:00,benchmark_20260620T214301Z,benchmark_1+0,1320,1320,1+0,,,32,28,0,4,93.8,1792,benchmark_20260620T214301Z.txt,txt,,
2026-06-20T22:06:26.239486+00:00,benchmark_20260620T220626Z,benchmark_1+0,2000,2000,1+0,,,32,10,10,12,50.0,2000,benchmark_20260620T220626Z.txt,txt,,
2026-06-20T22:16:48.448110+00:00,benchmark_20260620T221648Z,benchmark_1+0,1800,1800,1+0,,,32,14,13,5,51.6,1811,benchmark_20260620T221648Z.txt,txt,,
2026-06-20T23:03:10.493102+00:00,benchmark_20260620T230310Z,benchmark_1+0,2000,2000,1+0,,,32,10,20,2,34.4,1888,benchmark_20260620T230310Z.txt,txt,,
2026-06-21T05:47:12.788578+00:00,benchmark_20260621T054712Z,benchmark_1+0,1320,1320,1+0,movetime,1,2,0,2,0,0.0,,benchmark_20260621T054712Z.txt,txt,,
2026-06-21T06:00:38.408751+00:00,benchmark_20260621T060038Z,benchmark_1+0,1320,1320,1+0,movetime,1,8,7,1,0,87.5,1658,benchmark_20260621T060038Z.txt,txt,,
2026-06-21T06:09:23.682864+00:00,benchmark_20260621T060923Z,benchmark_1+0,1320,1320,1+0,movetime,1,16,14,1,1,90.6,1714,benchmark_20260621T060923Z.txt,txt,,
2026-06-21T06:25:56.830691+00:00,benchmark_20260621T062556Z,benchmark_1+0,1900,1900,1+0,movetime,1,16,5,7,4,43.8,1857,benchmark_20260621T062556Z.txt,txt,,
2026-06-21T06:28:54.599513+00:00,benchmark_20260621T062854Z,benchmark_1+0,1320,1320,1+0,movetime,1,16,1,15,0,6.2,848,benchmark_20260621T062854Z.txt,txt,,
2026-06-21T06:31:38.620433+00:00,benchmark_20260621T063138Z,benchmark_3+2,2000,2000,3+2,wtime,1,8,0,8,0,0.0,,benchmark_20260621T063138Z.txt,txt,,
2026-06-21T06:35:29.841879+00:00,benchmark_20260621T063529Z,benchmark_1+0,1320,1320,1+0,movetime,1,16,15,1,0,93.8,1792,benchmark_20260621T063529Z.txt,txt,,
2026-06-21T06:45:46.157043+00:00,benchmark_20260621T064545Z,benchmark_1+0,2000,2000,1+0,movetime,1,16,5,7,4,43.8,1957,benchmark_20260621T064545Z.txt,txt,,
2026-06-21T06:48:36.954336+00:00,benchmark_20260621T064836Z,benchmark_1+0,1900,1900,1+0,movetime,1,16,5,6,5,46.9,1878,benchmark_20260621T064836Z.txt,txt,,
2026-06-21T06:52:20.027977+00:00,benchmark_20260621T065219Z,benchmark_1+0,1900,1900,1+0,movetime,1,16,2,10,4,25.0,1709,benchmark_20260621T065219Z.txt,txt,,
2026-06-21T07:10:50.281785+00:00,benchmark_20260621T071050Z,benchmark_1+0,2000,2000,1+0,movetime,1,16,5,8,3,40.6,1934,benchmark_20260621T071050Z.txt,txt,,
2026-06-21T07:17:52.850166+00:00,benchmark_20260621T071752Z,benchmark_1+0,2000,2000,1+0,movetime,1,16,3,8,5,34.4,1888,benchmark_20260621T071752Z.txt,txt,,
2026-06-21T07:31:01.337797+00:00,benchmark_20260621T073101Z,benchmark_1+0,2100,2100,1+0,movetime,1,16,3,10,3,28.1,1937,benchmark_20260621T073101Z.txt,txt,,
2026-06-21T07:41:40.664467+00:00,benchmark_20260621T074140Z,benchmark_1+0,2100,2100,1+0,movetime,1,16,8,8,0,50.0,2100,benchmark_20260621T074140Z.txt,txt,,
2026-06-21T08:42:07.961668+00:00,benchmark_20260621T084207Z,benchmark_1+0,1320,1320,1+0,movetime,1,16,14,0,2,93.8,1792,benchmark_20260621T084207Z.txt,txt,,
2026-06-21T09:10:06.419994+00:00,benchmark_20260621T091006Z,benchmark_1+0,2000,2000,1+0,movetime,1,32,9,17,6,37.5,1911,benchmark_20260621T091006Z.txt,txt,,
2026-06-21T09:59:30.545674+00:00,benchmark_20260621T095930Z,benchmark_1+0,2000,2000,1+0,movetime,8,16,2,9,5,28.1,1837,benchmark_20260621T095930Z.txt,txt,,
2026-06-21T13:29:42.177573+00:00,benchmark_20260621T132942Z,benchmark_3+2,2000,2000,3+2,wtime,1,16,7,6,3,53.1,2022,benchmark_20260621T132942Z.txt,txt,,
